t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
6.380000000000000000e+02,6.682060822944538359e+01,9.604913416507974588e+00,5.721093043042990445e+01,4.764382507501337995e-03,0.000000000000000000e+00,5.985000000000000142e+01,5.663799999999999812e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.390000000000000000e+02,6.763484369354816295e+01,9.990664920471084898e+00,5.727071253002701923e+01,3.734662430500647612e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.650900000000000034e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+02,6.767832052492390460e+01,9.990664920471084898e+00,5.733049462962413401e+01,3.571609748286818653e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.650900000000000034e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.410000000000000000e+02,6.847947886489973257e+01,1.037641642443419343e+01,5.739258498748166204e+01,7.104774529838793207e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.638000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.420000000000000000e+02,6.794135606727758159e+01,1.008635521602783669e+01,5.745293967827515758e+01,4.020611729745879326e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.647699999999999676e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.430000000000000000e+02,6.874112668801321036e+01,1.047210671999094522e+01,5.751560262732906637e+01,7.534173406932032080e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.634799999999999898e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.440000000000000000e+02,6.877089597652550879e+01,1.047210671999094522e+01,5.757826557638297515e+01,7.205236801515811917e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.634799999999999898e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.450000000000000000e+02,6.861432596599625811e+01,1.037641642443419343e+01,5.764035593424050319e+01,5.975536073215519384e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.638000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.460000000000000000e+02,6.883810297474450124e+01,1.047210671999094522e+01,5.770301888329441198e+01,6.629773714591481459e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.634799999999999898e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.470000000000000000e+02,6.887182080742574897e+01,1.047210671999094522e+01,5.776568183234832077e+01,6.340322550864758711e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.634799999999999898e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.480000000000000000e+02,6.910044575742686845e+01,1.057078733728383924e+01,5.782893526607349344e+01,7.007231540695303407e-01,0.000000000000000000e+00,5.985000000000000142e+01,5.631499999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00
